skill_id,skill_content,skill_title,skill_description,agents,services,actions
0,None,ABPP schema refresh from TEST2 to PR2,"Performing a schema refresh for the ABPP application from the TEST2 environment to the PR2 environment, ensuring that the application data structure is updated and consistent across environments.",Application TMS,JDA Transportation Manager,Refresh
1,None,Mock DR for Home Depot Mexico S. de R.L. de C.V.,Scheduled mock disaster recovery exercise to test and validate the disaster recovery plan for Home Depot Mexico.,ITSM Agent,Disaster Recovery Plan,Create
2,None,Azure ALDI US WFM Production Upgrade,Upgrading to SVC_Aldi_2021.3.0.20_s01 from SVC_Aldi_2021.3.0.17_s01,Application WFMR,JDA Workforce,Upgrade
3,None,Azure ALDI US WFM Production Upgrade,Upgrading to SVC_Aldi_2021.3.0.20_s02 from SVC_Aldi_2021.3.0.20_s01,Application Agent,JDA Workforce,Upgrade
4,None,BP - NZ Production - Upgrade ESO Classic to SVC_BP_ESO_2018.2.0.18_s49.4,Upgrade of ESO Classic to the specified version using a consolidated package.,Application Agent,JDA Enterprise Store Operations,Upgrade
5,None,Clean up MDAPJOURNAL stale record,This task involves identifying and removing stale records from the MDAPJOURNAL to ensure data integrity and optimal performance.,DB Agent,MDAPJOURNAL,Delete
6,None,Certificate Expiration Management for Procter and Gamble AS2 Account,Managing the expiration of certificates for the Procter and Gamble AS2 account to ensure continuous secure communication and data transfer.,ITSM Agent,AS2 account,Monitor|Renew
7,None,"Change of SQL Server Service account - Pete's of Erie, Inc.(PROD)",Changing the service account for SQL Server to ensure proper permissions and security configurations.,DB Agent,SQL Server,Change
8,None,Change of SQL Server Service account - Starbucks Corporation(PROD),Changing the service account for SQL Server to ensure proper access and security configurations.,DB Agent,SQL Server,Change
9,None,Code upgrade on pure flash blades from version 4.3.10 to 4.4.3,Performing a code upgrade on Pure Flash Blades to enhance performance and security by upgrading from version 4.3.10 to 4.4.3.,Storage Agent,Pure Flash Blades,Upgrade
10,None,Code Upgrade on Pure Flash Blades,Performing a code upgrade on Pure Flash Blades to version 4.3.10.,Storage Agent,Pure Flash Blades,Upgrade
11,None,CPE Production Promotion Activity,"This skill involves managing and executing promotion activities related to the JDA Travel Price Optimization application, ensuring effective price management and optimization strategies are implemented in production environments.",Application PRM,JDA Travel Price Optimization,Manage|Execute
12,None,CPE Production Promotion Activity,"This skill involves managing and executing promotion activities related to the JDA Travel Price Optimization application, ensuring effective price management and optimization strategies are implemented in production environments.",Application PRM,JDA Travel Price Optimization,Manage|Execute
13,None,Create a cyclic job GVA1090-RECONCILIATION-BOX,This task involves creating a cyclic job named GVA1090-RECONCILIATION-BOX to run periodically as part of infrastructure services management.,ITSM Agent,Control-M,Create
14,None,Data Validation Framework Implementation,Implementing a data validation framework to ensure the accuracy and integrity of data within the JDA Enterprise Supply Planning application.,Application Agent,JDA Enterprise Supply Planning,Implement
15,None,Deployment of Dispatcher WMS application specific patch sets PS20-22,"This skill involves the deployment of specific patch sets for the Dispatcher WMS application, focusing on the implementation of PS20-22 in the Morrison Phase-II environment on PROD6 Gadprod Produce.",Application Agent,Dispatcher WMS,Deploy
16,None,Deployment of Dispatcher WMS application specific patch sets PS20-22,Deployment of the 'Dispatcher WMS' application specific patch sets PS20-22 for Morrison in Phase-II on PROD7 Gadbrook Fresh.,Application Agent,Dispatcher WMS,Deploy
17,None,Global PG ATLAS Azure Upgrade,Upgrade of TMS from version 2018 to 2022 in the Azure environment for Global PG ATLAS.,Application Agent,TMS - JDA,Upgrade
18,None,Hubbel | Prod| CNS Upgrade,Upgrade process for Hubbel production environment focusing on CNS (Cloud Network Services) enhancements.,CloudOps Agent,CNS,Upgrade
19,None,HYSTER YALE | TEST | CTRL-M V1.4 CHANGES,This skill involves understanding and implementing changes in Control-M version 1.4 for Hyster Yale infrastructure services.,ITSM Agent,Control-M,Update
20,None,Message Store Upgrade,Upgrade of the message store for The Coca Cola Company under the incident INC3397061.,ITSM Agent,Message Store,Upgrade
21,None,Increase Retention Period for Output Files,Increase the retention period for output files in the Archive folder and staging table from 30 to 90 days.,Application Agent,"Archive folder, staging table",Update
22,None,Increase Execution Frequency,This skill involves adjusting the execution frequency of jobs in Control-M to optimize scheduling and resource utilization.,Infrastructure Services,Control-M,Increase
23,None,LCT Error Jar Promotion from Test to Prod,Handling the promotion of LCT error jars from the testing environment to the production environment in JDA Connect.,ITSM Agent,JDA Connect,Promote
24,None,Live Partition Mobility,"Live Partition Mobility allows for the dynamic movement of AIX partitions between physical servers without downtime, ensuring high availability and resource optimization.",DB Agent,server,Add|Delete|Create
25,None,Manual redeploy for VM prbd782402002,A manual redeploy is required for the virtual machine prbd782402002 at Ajinomoto Foods North America Inc.,CloudOps Agent,Azure Platform,Redeploy
26,None,Manual Redeploy for VM,A manual redeploy is required for the virtual machine vasenvaba7701 at Skyworks Solutions Inc.,CloudOps Agent,Azure Platform,Redeploy
27,None,Manual redeploy for VM vasenvabe5001,"A manual redeployment is required for the virtual machine vasenvabe5001 at Seiyu Co., Ltd. This process involves stopping the VM, making necessary adjustments, and then starting it again to ensure optimal performance and configuration.",CloudOps Agent,Azure VM,Restart
28,None,Manual redeploy required for the VM,A manual redeployment is needed for the virtual machine vasenvabd7001 at UTAC Headquarters Pte. Ltd.,CloudOps Agent,Azure,Redeploy
29,None,Meijer |Prod|Control M|Change implementation,Implementation of changes in Control-M for Meijer production environment.,Infrastructure Services,Control-M,Implement
30,None,Meritor - DB back up job new schedules,Creating new schedules for database backup jobs in Control-M for Meritor.,DB Agent,database,Create
