skill_id,skill_content,skill_title,skill_description,agents,services,actions
0,Code to do the task..,Firewall Rule Management,"Manage firewall rules by adding, changing, or deleting them as needed to ensure network security and compliance.",Network Agent,firewall,Add|Change|Delete
1,Code to do the task..,Firewall Service Implementation and Decommissioning,This skill involves the implementation and decommissioning of firewall services to ensure network security and compliance.,Network Agent,firewall,Add|Delete
2,Code to do the task..,New Windows Virtual Server,Provisioning a new Windows virtual server for various applications and services.,CloudOps Agent,virtual server,Create
3,Code to do the task..,Modify Windows Virtual Server [FastTrack],This skill involves making changes to the configuration or settings of a Windows Virtual Server in a FastTrack environment.,CloudOps Agent,Windows Virtual Server,Modify
4,Code to do the task..,IMACD LAN Coverage,"Assessing and optimizing the Local Area Network (LAN) coverage for IMACD (Install, Move, Add, Change, and Decommission) operations to ensure seamless connectivity and performance.",Network Agent,LAN,Assess|Optimize
5,Code to do the task..,Modify Linux Virtual Server [FastTrack],"This skill involves making changes to the configuration and settings of a Linux Virtual Server using the FastTrack method, which is designed for quick and efficient modifications.",CloudOps Agent,Linux Virtual Server,Modify
6,Code to do the task..,IMACD WLAN Coverage,Assessing and optimizing WLAN coverage for IMACD environments to ensure reliable connectivity and performance.,Network Agent,WLAN,Assess|Optimize
7,Code to do the task..,Remove Windows Virtual Server [FastTrack],This skill involves the removal of the Windows Virtual Server in a FastTrack environment.,CloudOps Agent,Windows Virtual Server,Delete
8,Code to do the task..,DNS Management,"Managing DNS entries including adding, changing, and deleting records.",Network Agent,DNS,Add|Change|Delete
9,Code to do the task..,New Linux Virtual Server,Provisioning a new Linux virtual server for hosting applications or services.,CloudOps Agent,virtual server,Create
10,Code to do the task..,AO-M Project Support,"Providing assistance and support for the AO-M project, including troubleshooting, documentation, and coordination among team members.",ITSM Agent,project management,Add|Delete|Create|Update
11,Code to do the task..,Database Dedicated - MSSQL,"Management and administration of dedicated Microsoft SQL Server databases, ensuring optimal performance, security, and availability.",DB Agent,MSSQL Database,Manage|Monitor|Optimize|Secure
12,Code to do the task..,Change Federation,Managing and modifying federation settings within a network or cloud environment to ensure proper resource sharing and access control.,CloudOps Agent,federation settings,Change
13,Code to do the task..,Change of AOM Service,Managing and implementing changes to the AOM (Application Operations Management) service to enhance performance and reliability.,ITSM Agent,AOM Service,Change
14,Code to do the task..,Extra AO-M Support,Providing additional support for AO-M systems during a specified period to ensure optimal performance and issue resolution.,ITSM Agent,AO-M systems,Add
15,Code to do the task..,Remove Linux Virtual Server [FastTrack],This skill involves the removal of a Linux Virtual Server using the FastTrack method.,CloudOps Agent,Linux Virtual Server,Delete
16,Code to do the task..,PDN Single,"PDN Single refers to a single point of access for a private data network, allowing for streamlined connectivity and management of network resources.",Network Agent,private data network,Add|Create|Manage
17,Code to do the task..,MQFT Client,A client application that interacts with the MQFT (Message Queue File Transfer) system for sending and receiving files over a message queue.,Network Agent,message queue,Send|Receive
18,Code to do the task..,New IBMi Lpar Creation,Creating a new Logical Partition (Lpar) on an IBMi system to enhance resource allocation and management.,CloudOps Agent,IBMi system,Create
19,Code to do the task..,New Database Hotel - MSSQL [FastTrack],Creating a new database named 'Hotel' using Microsoft SQL Server with FastTrack methodology.,DB Agent,MSSQL Database,Create
20,Code to do the task..,Create Access for Client Application to Protected API Resource Server,"This skill involves configuring access permissions for a client application to securely interact with a protected API resource server, ensuring that only authorized clients can access the resources.",ITSM Agent,API Resource Server,Create
21,Code to do the task..,Dedicated Instance - MSSQL,Management and operation of dedicated Microsoft SQL Server instances for optimal performance and resource allocation.,DB Agent,MSSQL Server,Create|Manage|Monitor
22,Code to do the task..,Decom/removal of AOM Service,This skill involves the decommissioning and removal of the AOM (Application Operations Management) service from the infrastructure.,ITSM Agent,AOM Service,Delete
23,Code to do the task..,Remove Database Hotel - MSSQL [FastTrack],This skill involves the removal of a specific database named 'Hotel' from a Microsoft SQL Server environment using FastTrack.,DB Agent,MSSQL Database,Delete
24,Code to do the task..,Modify Windows Physical Server,"Perform modifications on a physical Windows server, including configuration changes, updates, and hardware adjustments.",ITSM Agent,Windows Server,Modify
